,area_id,hhid,persid,Gender,Age,Tripsnumberofchildren,Numberofadults,Numberofchildren,HHincome,Houseownership,Numberofcars,Surveyday,PTUSE,Destination,Parentscarlicence,Motherseducation,Fatherseducation,MothersJob,FathersJob,SI,HOME_asgs_name,MothersTripmode,trips_mode_1.2,trips_mode_1.3,trips_mode_1.4,TotalTravelTime,Totalwaittime,TotalDistance,HOME_sa4_name
48,21402138434,Y23H5270123,Y23H5270123P03,Male,13,4,2,2,2750,Being Purchased,2,Weekday,No,Education,2,No Study,No Study,Part-time Work,Full-time Work,127.577311270295,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,24.0,0.0,6.4152,Mornington Peninsula
49,21402138434,Y23H5270137,Y23H5270137P05,Female,12,3,2,3,4450,Being Purchased,2,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,127.577311270295,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,62.0,0.0,99.0666,Mornington Peninsula
50,21402138434,Y23H5270137,Y23H5270137P04,Female,15,4,2,3,4450,Being Purchased,2,Weekday,Yes,Education,2,No Study,No Study,Full-time Work,Full-time Work,127.577311270295,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,134.0,9.0,132.45212,Mornington Peninsula
51,21402138434,Y23H5270137,Y23H5270137P03,Male,16,6,2,3,4450,Being Purchased,2,Weekday,Yes,Education,2,No Study,No Study,Full-time Work,Full-time Work,127.577311270295,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,236.0,16.0,196.68952,Mornington Peninsula
52,21103145108,Y23H5270215,Y23H5270215P04,Male,14,2,2,2,1450,Fully Owned,2,Weekday,Yes,Education,2,No Study,No Study,Full-time Work,Casual Work,2669.39362829819,Greater Melbourne, ,Vehicle Driver,Vehicle Driver,Vehicle Driver,60.0,6.0,8.55777,Melbourne - Outer East
53,21103145108,Y23H5270215,Y23H5270215P03,Female,15,4,2,2,1450,Fully Owned,2,Weekday,Yes,Education,2,No Study,No Study,Full-time Work,Casual Work,2669.39362829819,Greater Melbourne, ,Vehicle Driver,Vehicle Driver,Vehicle Driver,60.0,6.0,8.55781,Melbourne - Outer East
54,21103126743,Y23H5270228,Y23H5270228P03,Female,9,4,2,2,2525,Being Rented,2,Weekend,No,Recreational,2,No Study,No Study,Part-time Work,Full-time Work,1800.70180060605,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,63.0,0.0,43.2539,Melbourne - Outer East
55,21103126743,Y23H5270231,Y23H5270231P03,Male,9,4,2,3,2950,Being Purchased,1,Weekday,No,Pick-up or Drop-off Someone,2,No Study,No Study,Full-time Work,Casual Work,1800.70180060605,Greater Melbourne, ,Vehicle Driver,Vehicle Driver,Vehicle Driver,25.0,0.0,10.0968,Melbourne - Outer East
56,21103126743,Y23H5270233,Y23H5270233P03,Female,15,4,2,1,1625,Being Rented,1,Weekday,Yes,Pick-up or Drop-off Someone,2,No Study,.,Full-time Work,.,1800.70180060605,Greater Melbourne,Vehicle Passenger,Walking,Vehicle Driver,Vehicle Driver,64.0,5.0,12.40019,Melbourne - Outer East
57,21103126743,Y23H5270239,Y23H5270239P05,Female,11,2,2,4,2275,Being Purchased,2,Weekday,No,Education,2,No Study,No Study,Retired,Retired,1800.70180060605,Greater Melbourne, , , ,Vehicle Driver,25.0,0.0,5.90328,Melbourne - Outer East
58,20606113607,Y23H5270306,Y23H5270306P04,Female,12,4,2,2,6000,Being Purchased,1,Weekend,No,Recreational,2,No Study,No Study,Full-time Work,Full-time Work,14189.1768751448,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,70.0,0.0,30.08322,Melbourne - Inner
59,20606113607,Y23H5270306,Y23H5270306P03,Male,15,2,2,2,6000,Being Purchased,1,Weekend,No,Recreational,2,No Study,No Study,Full-time Work,Full-time Work,14189.1768751448,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,15.0,0.0,5.98404,Melbourne - Inner
60,21202155321,Y23H5280103,Y23H5280103P04,Male,10,3,2,3,5000,Being Rented,2,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,405.277931002712,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,15.0,0.0,4.86438,Melbourne - South East
61,21202155321,Y23H5280103,Y23H5280103P03,Female,13,2,2,3,5000,Being Rented,2,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,405.277931002712,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,10.0,0.0,4.66918,Melbourne - South East
